FrameNumber,BrightArea,Intensity
728,1091.0,13.987179487179487
729,1098.5,17.436507936507937
730,1075.5,16.8046875
731,1081.5,13.865384615384615
732,1108.0,16.78787878787879
733,1114.5,15.06081081081081
734,1112.5,18.85593220338983
735,1092.5,20.61320754716981
736,1085.5,15.507142857142858
737,1088.0,17.83606557377049
738,1080.0,15.211267605633802
739,1092.5,17.620967741935484
740,1088.0,13.772151898734178
741,1087.0,18.116666666666667
742,1104.0,18.4
743,1109.5,14.793333333333333
744,1101.5,16.946153846153845
745,1107.0,16.279411764705884
746,1108.5,15.612676056338028
747,1131.5,18.25
748,1109.5,15.626760563380282
749,1101.5,16.440298507462686
750,1095.5,17.38888888888889
751,1093.0,14.573333333333334
752,1104.5,19.04310344827586
753,1100.5,16.674242424242426
754,1108.5,18.172131147540984
755,1096.5,16.365671641791046
756,1106.5,13.660493827160494
757,1119.0,16.70149253731343
758,1107.5,14.966216216216216
759,1099.5,16.915384615384614
760,1093.5,17.637096774193548
761,1091.5,15.159722222222221
762,1085.5,16.9609375
763,1075.0,17.063492063492063
764,1075.0,14.527027027027026
765,1098.5,17.436507936507937
766,1083.0,15.253521126760564
767,1088.0,17.548387096774192
768,1068.0,17.8
769,1073.0,14.118421052631579
770,1115.5,16.649253731343283
771,1105.5,15.143835616438356
772,1089.5,14.722972972972974
773,1102.5,16.455223880597014
774,1101.0,17.476190476190474
775,1106.0,15.577464788732394
776,1111.5,16.84090909090909
777,1076.5,16.067164179104477
778,1085.0,13.395061728395062
779,1097.5,15.678571428571429
780,1078.5,14.574324324324325
781,1089.5,15.789855072463768
782,1066.5,13.33125
783,1070.0,14.657534246575343
784,1075.5,15.816176470588236
785,1078.0,13.475
786,1081.0,15.225352112676056
787,1077.0,13.4625
788,1073.5,16.02238805970149
789,1070.0,15.970149253731343
790,1068.0,13.518987341772151
791,1069.5,16.204545454545453
792,1044.0,16.06153846153846
793,1046.0,13.584415584415584
794,1055.0,15.746268656716419
795,1050.0,15.441176470588236
796,1061.0,13.779220779220779
797,1074.5,15.572463768115941
798,1069.5,16.204545454545453
799,1077.0,15.385714285714286
800,1045.5,10.56060606060606
801,1085.0,14.090909090909092
802,1082.5,14.243421052631579
803,1080.0,13.333333333333334
804,1108.5,14.78
805,1072.0,12.761904761904763
806,1079.5,14.019480519480519
807,1080.5,14.217105263157896
808,1085.0,12.329545454545455
809,1088.0,14.904109589041095
810,1074.0,17.047619047619047
811,1089.0,13.784810126582279
812,1097.0,15.67142857142857
